0	0	1	0
0.01	0.1	0.99	0
0.02	0.189	1.0081	0.00099
0.03	0.27091	1.05094	0.00287551
0.04	0.348913	1.11627	0.00566509
0.05	0.425649	1.20279	0.00944662
0.06	0.503363	1.3099	0.0143773
0.07	0.584017	1.43767	0.0206833
0.08	0.669382	1.5867	0.0286659
0.09	0.761114	1.75807	0.0387137
0.1	0.860809	1.9533	0.0513203
0.11	0.970059	2.17436	0.0671081
0.12	1.09049	2.42358	0.0868585
0.13	1.2238	2.70373	0.11155
0.14	1.37179	3.01799	0.142407
0.15	1.53641	3.36996	0.18096
0.16	1.71977	3.76367	0.229117
0.17	1.92416	4.20363	0.289261
0.18	2.1521	4.69479	0.36436
0.19	2.40637	5.24259	0.45811
0.2	2.68999	5.85293	0.575104
0.21	3.00629	6.53213	0.721045
0.22	3.35887	7.28689	0.902999
0.23	3.75167	8.12417	1.1297
0.24	4.18892	9.05102	1.41189
0.25	4.67513	10.0743	1.7628
0.26	5.21505	11.2001	2.19853
0.27	5.81356	12.4337	2.73865
0.28	6.47557	13.7779	3.40672
0.29	7.20581	15.2327	4.23078
0.3	8.0085	16.7932	5.24381
0.31	8.88697	18.4477	6.48381
0.32	9.84304	20.1753	7.99357
0.33	10.8763	21.9428	9.81957
0.34	11.9829	23.7007	12.0097
0.35	13.1547	25.3798	14.6096
0.36	14.3772	26.8875	17.656
0.37	15.6282	28.1058	21.1686
0.38	16.876	28.8924	25.1376
0.39	18.0776	29.0865	29.5108
0.4	19.1785	28.5225	34.1787
0.41	20.1129	27.0523	38.9653
0.42	20.8069	24.5763	43.627
0.43	21.1838	21.0791	47.8681
0.44	21.1733	16.6595	51.376
0.45	20.7219	11.5434	53.8759
0.46	19.8041	6.06598	55.1904
0.47	18.4303	0.620505	55.2879
0.48	16.6493	-4.41494	54.2965
0.49	14.5429	-8.74897	52.4755
0.5	12.2137	-12.2209	50.1536
0.51	9.77023	-14.8045	47.6579
0.52	7.31276	-16.5771	45.2584
0.53	4.92378	-17.6734	43.1409
0.54	2.66406	-18.2421	41.4079
0.55	0.573442	-18.4169	40.0938
0.56	-1.32559	-18.3021	39.1863
0.57	-3.02324	-17.9708	38.6452
0.58	-4.518	-17.4693	38.4156
0.59	-5.81312	-16.824	38.4365
0.6	-6.91421	-16.0491	38.6458
0.61	-7.8277	-15.1525	38.9826
0.62	-8.56018	-14.1413	39.389
